user_id,n_txn,mean_amt,std_amt,median_amt,max_amt,median_time_delta,benford_amt,benford_time,benford_ratio,isFraud
10011_476_gmail.com,51,116.52156862745097,97.50451435245466,97.0,441.0,77782.5,0.03273177978455375,0.0032521793402254737,0.024201978931124454,1
10019_330_none,42,26.166666666666668,17.288747602148444,25.0,100.0,280721.0,0.06019727268414119,0.010033036293670784,0.061396168658964766,0
10023_325_anonymous.com,109,189.59238532110092,230.61283323576302,95.0,774.0,87612.5,0.00835270891510173,0.019245596425500635,-0.0077596026672736435,0
10023_325_aol.com,166,176.24819277108435,291.7649078676169,103.975,1822.09,60822.0,0.025596533892516943,0.0035602158156429788,0.02495696025327895,1
10023_325_gmail.com,953,110.03749213011542,181.80806005814244,59.0,2436.25,7755.0,0.04012307005737018,0.00773433442926763,0.04629299601828576,1
10023_325_hotmail.com,86,122.10476744186049,96.70864173077312,107.95,554.0,119399.0,0.006934750427470434,0.012960646643388769,0.037924171954158745,0
10023_325_none,266,113.10218045112784,104.2291843904781,77.0,774.0,32268.0,0.01890419642101237,0.010086018046909796,0.0339590514495147,1
10023_325_yahoo.com,429,113.60074592074592,130.45803003409182,59.0,1104.0,16534.5,0.027419615220311402,0.0010724243950222014,0.02975678418654723,1
10027_123_gmail.com,43,109.68651162790697,142.51770339454154,59.0,897.62,188500.0,0.010159658665555675,0.00246824538655209,0.03496814204934175,0
10027_123_none,32,123.1015625,110.49421421813719,95.95,538.0,269576.0,0.01952521244994416,0.0023504037451037366,0.03639159161798155,0
10027_123_yahoo.com,54,109.27462962962963,210.7048878013544,39.0,1384.39,96542.0,0.043772891760833106,0.012055397794696145,0.03142721274848743,0
10049_191_gmail.com,39,107.24205128205125,63.369991449463384,107.95,280.0,131686.5,0.004624987240052121,0.01688159927077535,0.01575759086400589,0
10054_-1_gmail.com,43,46.64286046511627,29.145442017563134,47.954,193.047,18032.5,0.04010676401537237,0.017556044631049365,0.03599945194720941,1
10057_123_anonymous.com,49,107.26510204081634,79.79673301896383,87.0,445.0,207902.5,0.0474377812151249,-0.00664530596687158,0.04290263382283466,0
10057_123_gmail.com,260,184.20665384615384,416.6826390320652,58.95,2991.0,44314.0,0.02444567061806931,0.014694221906839715,0.024384819771453545,1
10057_123_none,145,119.34551724137933,118.4604279681094,67.95,774.0,75300.5,0.03324682677992664,0.003604305819575132,0.03419769379306745,1
10057_123_yahoo.com,130,122.88430769230769,133.25517612078806,59.0,911.95,89721.0,0.0321202604655892,0.0057789027771521576,0.04347707083829288,1
10057_181_gmail.com,181,89.83546961325969,112.62302429108388,50.0,1052.0,60705.5,0.028644813134570124,0.008417887784488466,0.019186079335178505,1
10057_181_none,108,97.08296296296295,104.78891479275407,59.0,653.5,72994.0,0.024896040658468874,0.002026935883680265,0.018723201152296042,0
10057_181_yahoo.com,100,128.65609999999998,250.52696241281097,55.975,2242.49,111724.0,0.037001150652636455,0.004123701369098967,0.023485871996553078,1
10057_191_gmail.com,33,85.34181818181817,59.73679610437294,57.95,226.0,384317.0,-0.0006098555994269866,-0.008968404527779514,0.0015279983536036143,0
10057_204_gmail.com,162,110.57925925925929,113.20591759472492,85.95,1104.0,79053.0,0.026357578960771757,0.011556033406378126,0.02167621617499758,1
10057_204_none,49,94.90918367346937,56.06743723143548,87.0,311.95,145498.0,0.034972517553470625,-0.0019093446661297628,0.051900202396750986,1
10057_204_yahoo.com,141,80.16900709219857,42.72743346663054,59.0,310.0,79559.0,0.05320538524952119,0.00873969232014165,0.06002958716466565,1
10057_269_gmail.com,92,131.8805434782609,128.56743641038898,98.975,844.0,84447.0,0.023613938438661723,-8.007313004980421e-05,0.04250772109686857,1
10057_269_none,47,76.99893617021274,134.09529419185517,34.0,894.95,145674.0,0.024544771102941357,0.00992461416455772,0.018910431197758572,1
10057_269_yahoo.com,66,295.839696969697,422.3842887881363,106.95,1651.0,146584.0,-0.004980819917367329,-0.010464148388185126,-0.0035635775075873177,1
10057_315_gmail.com,196,131.77367346938775,311.80866902371775,61.475,3494.95,48066.0,0.016013764250072553,0.017471383085918064,0.0357163680011706,1
10057_315_none,99,74.96939393939394,66.2608057254835,53.97,335.0,100789.5,0.04661390412192985,0.0003349085218436812,0.05096111841292589,0
10057_315_yahoo.com,173,105.99017341040464,154.898554695616,59.0,1308.39,70210.5,0.02530806522103979,0.00791028267390502,0.021368339229832757,0
10057_327_gmail.com,150,99.28106666666666,87.95617695304608,72.475,554.0,70220.0,0.013546617127409032,0.0006510646005537003,0.01837504602926831,1
10057_327_none,36,112.59833333333333,65.97246767907554,92.0,240.0,237872.0,-0.010417869284186435,0.007901016442946364,-0.018768056566999383,0
10057_327_yahoo.com,50,97.23859999999999,86.54307602598834,57.95,414.95,172706.0,0.020765668435794797,0.019137382633116887,0.017418721015417,0
